Industry	NAICS	IR
Chemical and allied products merchant wholesalers	4246	1.6
Petroleum and petroleum products merchant wholesalers	4247	2
"Beer, wine, and distilled alcoholic beverage merchant wholesalers"	4248	5.2
Miscellaneous nondurable goods merchant wholesalers	4249	3.4
Retail trade	44-45	3.4
Motor vehicle and parts dealers	441	3
Automobile dealers	4411	2.9
New car dealers	44111	3
Used car dealers	44112	2
Other motor vehicle dealers	4412	2.4
Recreational vehicle dealers	44121	3.3
"Motorcycle, boat, and other motor vehicle dealers"	44122	2
"Automotive parts, accessories, and tire stores"	4413	3.6
Automotive parts and accessories stores	44131	3.4
Tire dealers	44132	3.9
Furniture and home furnishings stores	442	3.2
Furniture stores	4421	2.7
Home furnishings stores	4422	3.9
Floor covering stores	44221	1.9
Other home furnishings stores	44229	5.2
Electronics and appliance stores	443	1.1
Electronics and appliance stores	4431	1.1
Electronics and appliance stores	44314	1.1
Household appliance stores	443141	3.1
Electronics stores	443142	0.8
Building material and garden equipment and supplies dealers	444	4.9
Building material and supplies dealers	4441	4.9
Home centers	44411	5.7
Paint and wallpaper stores	44412	1.8
Hardware stores	44413	4.3
Other building material dealers	44419	3.6
Lawn and garden equipment and supplies stores	4442	4.6
Outdoor power equipment stores	44421	5.3
"Nursery, garden center, and farm supply stores"	44422	4.4
Food and beverage stores	445	4.1
Grocery stores	4451	4.5
Supermarkets and other grocery (except convenience) stores	44511	4.6
Meat markets	44521	1.8
Fruit and vegetable markets	44523	1.7
"Beer, wine, and liquor stores"	4453	1.3
Health and personal care stores	446	1.8
Health and personal care stores	4461	1.8
Pharmacies and drug stores	44611	2.2
"Cosmetics, beauty supplies, and perfume stores"	44612	1.2
Other health and personal care stores	44619	0.8
Gasoline stations	447	2.2
Gasoline stations	4471	2.2
Gasoline stations with convenience stores	44711	2.2
Other gasoline stations	44719	2.4
Clothing and clothing accessories stores	448	1.6
Clothing stores	4481	1.9
Men's clothing stores	44811	0.8
Women's clothing stores	44812	1.9
Children's and infants' clothing stores	44813	1.1
Family clothing stores	44814	2.4
Other clothing stores	44819	1.9
Shoe stores	4482	1.1
"Sporting goods, hobby, musical instrument, and book stores"	451	2.5
"Sporting goods, hobby, and musical instrument stores"	4511	2.7
Sporting goods stores	45111	2.3
"Sewing, needlework, and piece goods stores"	45113	3.6
Book stores and news dealers	4512	1.4
Book stores and news dealers	45121	1.4
Book stores	451211	1.5
General merchandise stores	452	4.6
Miscellaneous store retailers	453	3.2
Florists	4531	1.3
Office supplies and stationery stores	45321	2.3
Used merchandise stores	4533	4.7
Other miscellaneous store retailers	4539	3.5
Pet and pet supplies stores	45391	6.8
Manufactured (mobile) home dealers	45393	1.9
Nonstore retailers	454	2.2
Electronic shopping and mail-order houses	4541	1.7
Other direct selling establishments	45439	1.8
Transportation and warehousing(10)	48-49	4.4
Air transportation	481	6.5
Scheduled air transportation	4811	7
Scheduled air transportation	48111	7
Scheduled passenger air transportation	481111	7.1
Nonscheduled air transportation	4812	1.9
Rail transportation(10)	482	2
Deep sea passenger transportation	483112	6.7
Coastal and great lakes freight transportation	483113	2.2
Truck transportation	484	3.6
General freight trucking	4841	3.7
"General freight trucking, local"	48411	3.3
"General freight trucking, long-distance"	48412	3.9
Specialized freight trucking	4842	3.3
Used household and office goods moving	48421	4.7
"Specialized freight (except used goods) trucking, local"	48422	3.1
"Specialized freight (except used goods) trucking, long-distance"	48423	2.7
Transit and ground passenger transportation	485	3.6
Urban transit systems	4851	6.5
Interurban and rural bus transportation	4852	6.5
Taxi and limousine service	4853	1.7
Limousine service	48532	1.3
School and employee bus transportation	4854	3.2
Charter bus industry	4855	2
Other transit and ground passenger transportation	4859	3.8
Pipeline transportation	486	0.8
Pipeline transportation of crude oil	4861	0.8
Pipeline transportation of natural gas	4862	0.9
Other pipeline transportation	4869	0.2
Scenic and sightseeing transportation	487	3.3
"Scenic and sightseeing transportation, land"	4871	3.5
"Scenic and sightseeing transportation, water"	4872	3.1
Support activities for transportation	488	3.2
Support activities for air transportation	4881	4.3
Support activities for rail transportation	4882	2.1
Support activities for water transportation	4883	4.6
Marine cargo handling	48832	5.2
Navigational services to shipping	48833	1.8
Support activities for road transportation	4884	2.8
Motor vehicle towing	48841	2.9
Other support activities for road transportation	48849	2.4
Couriers and messengers	492	8.1
Couriers and express delivery services	4921	8.8
Warehousing and storage	493	4.8
Warehousing and storage	4931	4.8
General warehousing and storage	49311	4.9
Refrigerated warehousing and storage	49312	5.5
Farm product warehousing and storage	49313	3.5
Other warehousing and storage	49319	2.8
Utilities	22	2.2
Utilities	221	2.2
"Electric power generation, transmission and distribution"	2211	1.8
Electric power generation	22111	1.1
Hydroelectric power generation	221111	2.6
Fossil fuel electric power generation	221112	1.4
Nuclear electric power generation	221113	0.2
Solar electric power generation	221114	0.5
"Electric power transmission, control, and distribution"	22112	2.3
Natural gas distribution	2212	2.3
"Water, sewage and other systems"	2213	5.3
Water supply and irrigation systems	22131	5.1
Information	51	1.2
Publishing industries (except internet)	511	0.6
"Newspaper, periodical, book, and directory publishers"	5111	1.2
Newspaper publishers	51111	1.9
Periodical publishers	51112	0.2
Book publishers	51113	1
Other publishers	51119	2.2
Software publishers	5112	0.2
Motion picture and sound recording industries	512	1.7
Motion picture and video industries	5121	1.8
Motion picture and video distribution	51212	1.9
Motion picture and video exhibition	51213	4
Broadcasting (except internet)	515	1.1
Radio and television broadcasting	5151	1
Radio broadcasting	51511	0.4
Television broadcasting	51512	1.4
Cable and other subscription programming	5152	1.2
Telecommunications	517	2.3
Other information services	519	0.3
Other information services	5191	0.3
Libraries and archives	51912	1.5
Internet publishing and broadcasting and web search portals	51913	0.2
All other information services	51919	0.2
Finance and insurance	52	0.5
Credit intermediation and related activities	522	0.5
Depository credit intermediation	5221	0.6
Commercial banking	52211	0.6
Savings institutions	52212	0.9
Credit unions	52213	0.7
Nondepository credit intermediation	5222	0.4
Credit card issuing	52221	0.3
Sales financing	52222	0.4
Other nondepository credit intermediation	52229	0.4
Activities related to credit intermediation	5223	0.3
"Financial transactions processing, reserve, and clearinghouse activities"	52232	0.4
Securities and commodity contracts intermediation and brokerage	5231	0.2
Securities brokerage	52312	0.2
Other financial investment activities	5239	0.1
Portfolio management	52392	0.1
Investment advice	52393	0.1
Insurance carriers and related activities	524	0.5
Insurance carriers	5241	0.5
"Direct life, health, and medical insurance carriers"	52411	0.5
"Direct insurance (except life, health, and medical) carriers"	52412	0.6
Reinsurance carriers	52413	0.2
"Agencies, brokerages, and other insurance related activities"	5242	0.4
Other insurance related activities	52429	0.6
Real estate and rental and leasing	53	2.3
Real estate	531	2.1
Lessors of real estate	5311	2.7
Lessors of residential buildings and dwellings	53111	3
Lessors of miniwarehouses and self-storage units	53113	2.6
Lessors of other real estate property	53119	1.3
Offices of real estate agents and brokers	5312	0.6
Activities related to real estate	5313	2.4
Real estate property managers	53131	2.7
Other activities related to real estate	53139	0.2
Rental and leasing services	532	2.8
Automotive equipment rental and leasing	5321	3
"Truck, utility trailer, and RV (recreational vehicle) rental and leasing"	53212	2.6
Commercial and industrial machinery and equipment rental and leasing	5324	1.8
"Construction, transportation, mining, and forestry machinery and equipment rental and leasing"	53241	1.5
Other commercial and industrial machinery and equipment rental and leasing	53249	2.2
"Professional, scientific, and technical services"	54	0.8
"Professional, scientific, and technical services"	541	0.8
Legal services	5411	0.2
"Accounting, tax preparation, bookkeeping, and payroll services"	5412	0.3
"Accounting, tax preparation, bookkeeping, and payroll services"	54121	0.3
Offices of certified public accountants	541211	0.1
Other accounting services	541219	0.4
"Architectural, engineering, and related services"	5413	0.7
Architectural services	54131	0.2
Landscape architectural services	54132	1.3
Testing laboratories	54138	1
Specialized design services	5414	0.6
Computer systems design and related services	5415	0.2
Computer systems design and related services	54151	0.2
Custom computer programming services	541511	0.2
Computer facilities management services	541513	0.5
Other computer related services	541519	0.7
Environmental consulting services	54162	1
Other scientific and technical consulting services	54169	0.4
"Advertising, public relations, and related services"	5418	0.9
"Other professional, scientific, and technical services"	5419	6
Photographic services	54192	0.2
Translation and interpretation services	54193	1.8
Veterinary services	54194	10.7
"All other professional, scientific, and technical services"	54199	0.3
Management of companies and enterprises	55	0.7
Facilities support services	5612	3
Employment services	5613	1.2
Employment placement agencies and executive search services	56131	0.6
Temporary help services	56132	1.3
Professional employer organizations	56133	1.4
Business support services	5614	0.8
Telephone call centers	56142	0.7
Collection agencies	56144	0.3
Travel arrangement and reservation services	5615	1
Travel agencies	56151	0.2
Other travel arrangement and reservation services	56159	1.7
Investigation and security services	5616	2.1
"Investigation, guard, and armored car services"	56161	2.1
Investigation services	561611	1.4
Security guards and patrol services	561612	1.8
Armored car services	561613	8.8
Security systems services	56162	1.7
Services to buildings and dwellings	5617	3.5
Exterminating and pest control services	56171	3.9
Janitorial services	56172	3
Landscaping services	56173	3.9
Carpet and upholstery cleaning services	56174	2.8
Other support services	5619	2.8
Waste management and remediation services	562	4.2
Waste collection	5621	5.5
Waste collection	56211	5.5
Solid waste collection	562111	5.8
Hazardous waste collection	562112	3.9
Waste treatment and disposal	5622	4
Waste treatment and disposal	56221	4
Hazardous waste treatment and disposal	562211	2.2
Solid waste landfill	562212	4.9
Remediation and other waste management services	5629	2.8
Remediation services	56291	1.9
Materials recovery facilities	56292	3.6
All other waste management services	56299	4.2
Educational services	61	2
Educational services	611	2
Elementary and secondary schools	6111	2.8
"Colleges, universities, and professional schools"	6113	1.6
Business schools and computer and management training	6114	0.7
Professional and management development training	61143	1
Other schools and instruction	6116	1
Fine arts schools	61161	0.1
Sports and recreation instruction	61162	0.9
All other schools and instruction	61169	1.6
Health care and social assistance	62	3.8
Ambulatory health care services	621	2.3
Offices of physicians	6211	1.6
Offices of physicians	62111	1.6
Offices of physicians (except mental health specialists)	621111	1.6
"Offices of physicians, mental health specialists"	621112	1.2
Offices of dentists	6212	2
Offices of other health practitioners	6213	1.2
Outpatient care centers	6214	3.9
Medical and diagnostic laboratories	6215	2
Home health care services	6216	2.4
Other ambulatory health care services	6219	6
Ambulance services	62191	7.9
Hospitals	622	5.5
General medical and surgical hospitals	6221	5.5
Psychiatric and substance abuse hospitals	6222	7.2
Specialty (except psychiatric and substance abuse) hospitals	6223	4.8
Nursing and residential care facilities	623	5.9
Nursing care facilities (skilled nursing facilities)	6231	6
"Residential intellectual and developmental disability, mental health, and substance abuse facilities"	6232	5.4
Continuing care retirement communities and assisted living facilities for the elderly	6233	6.1
Other residential care facilities	6239	6.4
Social assistance	624	2.8
Individual and family services	6241	2.7
Child and youth services	62411	2.5
Services for the elderly and persons with disabilities	62412	2.8
Other individual and family services	62419	2.6
"Community food and housing, and emergency and other relief services"	6242	3
Community food services	62421	3.9
Community housing services	62422	2.7
Vocational rehabilitation services	6243	4.8
Child day care services	6244	2.2
"Arts, entertainment, and recreation"	71	4
"Performing arts, spectator sports, and related industries"	711	6
Performing arts companies	7111	7.2
Spectator sports	7112	11.6
Spectator sports	71121	11.6
Racetracks	711212	3.1
"Promoters of performing arts, sports, and similar events"	7113	3
"Agents and managers for artists, athletes, entertainers, and other public figures"	7114	0.7
"Independent artists, writers, and performers"	7115	1.2
"Museums, historical sites, and similar institutions"	712	4
"Amusement, gambling, and recreation industries"	713	3.3
Amusement parks and arcades	7131	6.5
Amusement and theme parks	71311	6.7
Gambling industries	7132	2.8
Other amusement and recreation industries	7139	2.9
Golf courses and country clubs	71391	4.2
Skiing facilities	71392	8.5
Marinas	71393	1.4
Fitness and recreational sports centers	71394	1.9
Bowling centers	71395	1.5
All other amusement and recreation industries	71399	2.3
Accommodation and food services	72	3.2
Accommodation	721	4.3
Traveler accommodation	7211	4.3
Hotels (except casino hotels) and motels	72111	4.5
Casino hotels	72112	3.8
Other traveler accommodation	72119	3.2
RV (recreational vehicle) parks and campgrounds	721211	1.7
Food services and drinking places	722	3
Special food services	7223	3.3
Drinking places (alcoholic beverages)	7224	0.9
Restaurants and other eating places	7225	3
Restaurants and other eating places	72251	3
Full-service restaurants	722511	2.7
Limited-service restaurants	722513	3.1
"Cafeterias, grill buffets, and buffets"	722514	2.7
Snack and nonalcoholic beverage bars	722515	5.1
Other services (except public administration)	81	2
Repair and maintenance	811	2
Automotive repair and maintenance	8111	1.9
Electronic and precision equipment repair and maintenance	8112	1.1
Personal and laundry services	812	2.1
Drycleaning and laundry services	8123	3.3
Coin-operated laundries and drycleaners	81231	0.2
Linen and uniform supply	81233	4.9
Linen supply	812331	4.1
Industrial launderers	812332	5.7
Parking lots and garages	81293	2.5
All other personal services	81299	0.6
"Religious, grantmaking, civic, professional, and similar organizations"	813	1.7
Educational services	61	1.8
Educational services	611	1.8
"Colleges, universities, and professional schools"	6113	1.7
Health care and social assistance	62	7.3
Hospitals	622	8.1
Nursing and residential care facilities	623	11.5
Public administration	92	3.6
"Justice, public order, and safety activities"	922	5.4
"Justice, public order, and safety activities"	9221	5.4
Correctional institutions	92214	6.8
Utilities	22	5.1
Utilities	221	5.1
"Water, sewage and other systems"	2213	5.5
Educational services	61	4.2
Educational services	611	4.2
Elementary and secondary schools	6111	4.4
Health care and social assistance	62	4.9
Hospitals	622	5.3
Nursing and residential care facilities	623	7.6
Public administration	92	6.2
